latitude,longitude,brightness,acq_date,acq_time,satellite,confidence,bright_t31,frp,daynight,label_fire,year,month,day,dayofyear,hour,minute,label
38.6586,27.0758,325.1,2015-02-21,1114,Aqua,84,290.4,24.8,D,1,2015,2,21,52,11,14,1
38.8805,27.0858,347.2,2015-06-15,0922,Terra,81,308.1,54.5,D,1,2015,6,15,166,9,22,1
38.3115,26.641,354.9,2015-07-04,1132,Aqua,97,308.7,70.8,D,1,2015,7,4,185,11,32,1
38.1211,27.7115,319.4,2015-07-13,2051,Terra,98,293.0,76.7,N,1,2015,7,13,194,20,51,1
38.1178,27.7188,318.3,2015-07-13,2051,Terra,97,293.0,71.5,N,1,2015,7,13,194,20,51,1
38.8543,27.0519,363.5,2015-07-15,0935,Terra,87,311.3,190.5,D,1,2015,7,15,196,9,35,1
38.8502,27.0716,334.5,2015-07-15,0935,Terra,84,309.3,48.4,D,1,2015,7,15,196,9,35,1
38.4477,27.2876,332.3,2015-08-31,0852,Terra,81,311.2,27.4,D,1,2015,8,31,243,8,52,1
38.7388,27.0954,354.8,2015-08-31,1956,Terra,100,297.6,117.3,N,1,2015,8,31,243,19,56,1
38.7358,27.0795,315.7,2015-08-31,1956,Terra,92,296.3,20.2,N,1,2015,8,31,243,19,56,1
38.2037,27.6699,335.0,2016-06-08,1107,Aqua,85,309.8,27.8,D,1,2016,6,8,160,11,7,1
38.664,26.4681,333.0,2016-06-08,2033,Terra,100,290.5,47.5,N,1,2016,6,8,160,20,33,1
38.5289,27.065,324.4,2016-06-24,2033,Terra,100,298.7,28.0,N,1,2016,6,24,176,20,33,1
38.1716,26.9725,336.3,2016-08-03,1156,Aqua,83,305.2,93.7,D,1,2016,8,3,216,11,56,1
38.1367,26.9908,334.4,2016-08-03,1944,Terra,100,300.0,100.8,N,1,2016,8,3,216,19,44,1
38.1318,26.9685,319.4,2016-08-03,1944,Terra,98,297.7,44.8,N,1,2016,8,3,216,19,44,1
38.1493,26.9872,310.5,2016-08-03,1944,Terra,80,297.8,21.3,N,1,2016,8,3,216,19,44,1
38.2843,27.2385,312.3,2016-08-03,1944,Terra,84,297.4,25.9,N,1,2016,8,3,216,19,44,1
38.1582,26.9859,316.9,2016-08-03,2356,Aqua,94,297.9,17.6,N,1,2016,8,3,216,23,56,1
38.4443,26.4989,368.1,2016-09-15,1137,Aqua,100,307.3,143.6,D,1,2016,9,15,259,11,37,1
39.1598,27.4141,332.3,2016-10-18,0903,Terra,88,294.6,30.2,D,1,2016,10,18,292,9,3,1
38.145,26.8376,323.5,2016-12-26,2026,Terra,100,277.3,30.0,N,1,2016,12,26,361,20,26,1
38.2099,27.1655,332.8,2017-06-20,0922,Terra,85,305.4,29.1,D,1,2017,6,20,171,9,22,1
38.9616,26.9381,349.4,2017-06-25,0940,Terra,82,306.0,133.0,D,1,2017,6,25,176,9,40,1
38.9565,26.9617,362.7,2017-06-25,0940,Terra,87,306.9,228.9,D,1,2017,6,25,176,9,40,1
38.9613,26.9477,352.0,2017-06-25,1119,Aqua,95,316.1,45.8,D,1,2017,6,25,176,11,19,1
