lat_bin,lon_bin,center_lat,center_lon,fire_count,max_conf,mean_conf,max_frp,mean_frp,risk_class,risk_code,clc_code,lc_group,burnable,label,pred_label,pred_proba_high,dist_to_road_m,slope_deg,ground_access_class,ground_access_score,road_dist_class,slope_class,ground_access_score_v1,ground_access_class_v1,ground_reason_v1,air_access_score_v1,air_access_class_v1,air_reason_v1
0,33,37.9208,27.275,1,100.0,100.0,41.9,41.9,HIGH,2,11,OTHER,1,1,1,0.9775,8.638664339810152,14.05996322631836,HIGH,3,NEAR,MEDIUM,2,MEDIUM,"ground: dist<=250m, 10°<slope<=20° => score=max(road,slope)=2",2,MEDIUM,air(v1): 10°<slope<=20° => score=2 (slope-based; no landing/base data)
0,34,37.9208,27.305,0,0.0,0.0,0.0,0.0,NO_FIRE,0,13,OTHER,1,0,0,0.0,363.0563581619444,1.908735394477844,MEDIUM,2,MID,LOW,2,MEDIUM,"ground: 250m<dist<=1000m, slope<=10° => score=max(road,slope)=2",1,LOW,air(v1): slope<=10° => score=1 (slope-based; no landing/base data)
0,35,37.9208,27.335,0,0.0,0.0,0.0,0.0,NO_FIRE,0,25,OTHER,1,0,0,0.0,58.34205276639432,23.66360282897949,MEDIUM,2,NEAR,HIGH,3,HIGH,"ground: dist<=250m, slope>20° => score=max(road,slope)=3",3,HIGH,air(v1): slope>20° => score=3 (slope-based; no landing/base data)
0,36,37.9208,27.365,0,0.0,0.0,0.0,0.0,NO_FIRE,0,17,OTHER,1,0,0,0.0,19.786300263055036,6.627952575683594,HIGH,3,NEAR,LOW,1,LOW,"ground: dist<=250m, slope<=10° => score=max(road,slope)=1",1,LOW,air(v1): slope<=10° => score=1 (slope-based; no landing/base data)
0,37,37.9208,27.395,0,0.0,0.0,0.0,0.0,NO_FIRE,0,21,OTHER,1,0,0,0.0,419.81742832997577,15.099145889282228,MEDIUM,2,MID,MEDIUM,2,MEDIUM,"ground: 250m<dist<=1000m, 10°<slope<=20° => score=max(road,slope)=2",2,MEDIUM,air(v1): 10°<slope<=20° => score=2 (slope-based; no landing/base data)
0,38,37.9208,27.425,0,0.0,0.0,0.0,0.0,NO_FIRE,0,24,OTHER,1,0,0,0.0,45.22917896700727,11.857141494750977,HIGH,3,NEAR,MEDIUM,2,MEDIUM,"ground: dist<=250m, 10°<slope<=20° => score=max(road,slope)=2",2,MEDIUM,air(v1): 10°<slope<=20° => score=2 (slope-based; no landing/base data)
1,33,37.9408,27.275,0,0.0,0.0,0.0,0.0,NO_FIRE,0,11,OTHER,1,0,0,0.0,68.64515230178415,2.406648635864258,HIGH,3,NEAR,LOW,1,LOW,"ground: dist<=250m, slope<=10° => score=max(road,slope)=1",1,LOW,air(v1): slope<=10° => score=1 (slope-based; no landing/base data)
1,34,37.9408,27.305,0,0.0,0.0,0.0,0.0,NO_FIRE,0,13,OTHER,1,0,0,0.0,219.41811255508009,0.9420880079269408,MEDIUM,2,NEAR,LOW,1,LOW,"ground: dist<=250m, slope<=10° => score=max(road,slope)=1",1,LOW,air(v1): slope<=10° => score=1 (slope-based; no landing/base data)
1,35,37.9408,27.335,0,0.0,0.0,0.0,0.0,NO_FIRE,0,29,OTHER,1,0,0,0.0,32.43636356118286,7.653796672821045,HIGH,3,NEAR,LOW,1,LOW,"ground: dist<=250m, slope<=10° => score=max(road,slope)=1",1,LOW,air(v1): slope<=10° => score=1 (slope-based; no landing/base data)
1,36,37.9408,27.365,0,0.0,0.0,0.0,0.0,NO_FIRE,0,2,OTHER,1,0,0,0.0,7.017039781445278,1.0207724571228027,HIGH,3,NEAR,LOW,1,LOW,"ground: dist<=250m, slope<=10° => score=max(road,slope)=1",1,LOW,air(v1): slope<=10° => score=1 (slope-based; no landing/base data)
1,37,37.9408,27.395,0,0.0,0.0,0.0,0.0,NO_FIRE,0,17,OTHER,1,0,0,0.0,499.8530092115566,5.026350975036621,MEDIUM,2,MID,LOW,2,MEDIUM,"ground: 250m<dist<=1000m, slope<=10° => score=max(road,slope)=2",1,LOW,air(v1): slope<=10° => score=1 (slope-based; no landing/base data)
1,38,37.9408,27.425,0,0.0,0.0,0.0,0.0,NO_FIRE,0,20,OTHER,1,0,0,0.0,84.04121472060127,17.870718002319336,MEDIUM,2,NEAR,MEDIUM,2,MEDIUM,"ground: dist<=250m, 10°<slope<=20° => score=max(road,slope)=2",2,MEDIUM,air(v1): 10°<slope<=20° => score=2 (slope-based; no landing/base data)
1,39,37.9408,27.455,0,0.0,0.0,0.0,0.0,NO_FIRE,0,32,OTHER,1,0,0,0.0,359.93168665651194,17.119892120361328,MEDIUM,2,MID,MEDIUM,2,MEDIUM,"ground: 250m<dist<=1000m, 10°<slope<=20° => score=max(road,slope)=2",2,MEDIUM,air(v1): 10°<slope<=20° => score=2 (slope-based; no landing/base data)
1,40,37.9408,27.485,0,0.0,0.0,0.0,0.0,NO_FIRE,0,23,OTHER,1,0,0,0.0,826.5885135079507,33.769168853759766,LOW,1,MID,HIGH,3,HIGH,"ground: 250m<dist<=1000m, slope>20° => score=max(road,slope)=3",3,HIGH,air(v1): slope>20° => score=3 (slope-based; no landing/base data)
2,33,37.9608,27.275,3,58.0,37.333333,18.9,10.433333,LOW,1,35,OTHER,1,0,0,0.0175,636.0288723077526,0.2336163520812988,LOW,1,MID,LOW,2,MEDIUM,"ground: 250m<dist<=1000m, slope<=10° => score=max(road,slope)=2",1,LOW,air(v1): slope<=10° => score=1 (slope-based; no landing/base data)
2,34,37.9608,27.305,1,52.0,52.0,5.0,5.0,LOW,1,13,OTHER,1,0,0,0.0,721.1270071796416,0.1006287336349487,LOW,1,MID,LOW,2,MEDIUM,"ground: 250m<dist<=1000m, slope<=10° => score=max(road,slope)=2",1,LOW,air(v1): slope<=10° => score=1 (slope-based; no landing/base data)
2,35,37.9608,27.335,0,0.0,0.0,0.0,0.0,NO_FIRE,0,13,OTHER,1,0,0,0.0,579.1539064454961,0.1773851960897445,LOW,1,MID,LOW,2,MEDIUM,"ground: 250m<dist<=1000m, slope<=10° => score=max(road,slope)=2",1,LOW,air(v1): slope<=10° => score=1 (slope-based; no landing/base data)
2,36,37.9608,27.365,1,56.0,56.0,4.1,4.1,LOW,1,16,OTHER,1,0,0,0.0,223.61818378108555,0.9388145208358764,MEDIUM,2,NEAR,LOW,1,LOW,"ground: dist<=250m, slope<=10° => score=max(road,slope)=1",1,LOW,air(v1): slope<=10° => score=1 (slope-based; no landing/base data)
