ID; Demand; FireStation; Risk; StationDist_km
544; 86; 586; HIGH; 0.1129
78; 95; 557; HIGH; 0.1375
217; 42; 589; LOW; 0.1235
153; 12; 593; LOW; 0.0231
323; 33; 591; LOW; 0.1297
108; 16; 594; LOW; 0.0515
364; 68; 596; HIGH; 0.0678
543; 77; 586; HIGH; 0.1228
523; 50; 569; LOW; 0.1448
269; 76; 554; HIGH; 0.0474
418; 18; 596; LOW; 0.061
178; 25; 557; LOW; 0.1565
506; 79; 559; HIGH; 0.1207
37; 46; 565; LOW; 0.0703
409; 76; 590; HIGH; 0.1406
120; 22; 594; LOW; 0.0712
359; 37; 571; LOW; 0.0604
3; 75; 565; HIGH; 0.1706
113; 88; 574; HIGH; 0.1109
431; 39; 596; LOW; 0.1165
379; 34; 571; LOW; 0.0602
518; 82; 559; HIGH; 0.0517
112; 27; 574; LOW; 0.0966
103; 33; 597; LOW; 0.0677
255; 24; 560; LOW; 0.195
367; 50; 567; LOW; 0.0611
243; 49; 588; LOW; 0.0134
49; 65; 574; HIGH; 0.0306
248; 48; 557; LOW; 0.1293
138; 27; 594; LOW; 0.0126
538; 11; 586; LOW; 0.073
416; 62; 596; HIGH; 0.1028
302; 18; 588; LOW; 0.0813
385; 82; 567; HIGH; 0.0874
486; 42; 569; LOW; 0.1101
546; 45; 569; LOW; 0.1988
315; 34; 588; LOW; 0.0875
77; 39; 557; LOW; 0.16
422; 86; 590; HIGH; 0.1433
154; 76; 560; HIGH; 0.1498
499; 91; 569; HIGH; 0.0802
317; 24; 577; LOW; 0.153
333; 84; 591; HIGH; 0.1177
40; 38; 597; LOW; 0.1104
72; 17; 580; LOW; 0.0725
83; 28; 597; LOW; 0.0481
117; 38; 565; LOW; 0.1045
337; 47; 585; LOW; 0.0149
484; 33; 569; LOW; 0.1456
30; 16; 574; LOW; 0.1162
348; 11; 585; LOW; 0.1191
143; 27; 588; LOW; 0.0855
466; 69; 555; HIGH; 0.0562
191; 87; 600; HIGH; 0.1289
461; 78; 555; HIGH; 0.0204
34; 79; 580; HIGH; 0.1185
417; 17; 596; LOW; 0.0522
266; 10; 589; LOW; 0.1039
241; 45; 588; LOW; 0.0723
250; 100; 557; HIGH; 0.1842
376; 33; 567; LOW; 0.0493
130; 93; 565; HIGH; 0.0516
210; 74; 577; HIGH; 0.0856
251; 28; 593; LOW; 0.1188
520; 14; 586; LOW; 0.0817
76; 36; 565; LOW; 0.1004
481; 64; 569; HIGH; 0.1411
460; 81; 555; HIGH; 0.0211
403; 38; 596; LOW; 0.0942
356; 26; 567; LOW; 0.0108
510; 82; 569; HIGH; 0.1684
386; 81; 567; HIGH; 0.1085
470; 43; 555; LOW; 0.1282
404; 14; 596; LOW; 0.0668
377; 99; 567; HIGH; 0.0544
14; 36; 580; LOW; 0.1733
229; 32; 560; LOW; 0.2467
271; 60; 588; HIGH; 0.0313
88; 92; 574; HIGH; 0.0898
535; 27; 586; LOW; 0.0655
370; 27; 571; LOW; 0.0438
257; 61; 577; HIGH; 0.0433
203; 83; 588; HIGH; 0.1714
425; 70; 572; HIGH; 0.0704
71; 25; 574; LOW; 0.0816
87; 23; 574; LOW; 0.1109
236; 23; 600; LOW; 0.1623
158; 85; 577; HIGH; 0.1333
22; 64; 565; HIGH; 0.0801
193; 13; 594; LOW; 0.0486
537; 23; 586; LOW; 0.0564
521; 65; 586; HIGH; 0.1114
300; 41; 554; LOW; 0.0454
80; 41; 597; LOW; 0.0837
147; 12; 565; LOW; 0.0866
149; 96; 557; HIGH; 0.1278
312; 82; 554; HIGH; 0.0473
267; 12; 589; LOW; 0.078
343; 89; 585; HIGH; 0.0911
474; 44; 555; LOW; 0.1364
468; 27; 555; LOW; 0.0866
277; 49; 577; LOW; 0.0747
493; 86; 569; HIGH; 0.0868
353; 67; 585; HIGH; 0.0659
183; 75; 593; HIGH; 0.0723
233; 43; 577; LOW; 0.106
381; 90; 585; HIGH; 0.1047
347; 92; 585; HIGH; 0.0892
366; 71; 567; HIGH; 0.0374
304; 86; 557; HIGH; 0.139
378; 69; 571; HIGH; 0.0792
540; 13; 586; LOW; 0.0885
532; 25; 569; LOW; 0.0637
242; 33; 588; LOW; 0.0425
222; 20; 588; LOW; 0.05
314; 35; 554; LOW; 0.0476
547; 70; 559; HIGH; 0.2168
437; 11; 601; LOW; 0.0956
56; 89; 565; HIGH; 0.031
501; 73; 569; HIGH; 0.1991
2; 69; 580; HIGH; 0.2521
187; 93; 577; HIGH; 0.0776
145; 64; 588; HIGH; 0.0765
309; 40; 600; LOW; 0.0487
168; 79; 594; HIGH; 0.1624
280; 50; 600; LOW; 0.1556
142; 73; 588; HIGH; 0.1036
430; 72; 596; HIGH; 0.0722
455; 14; 555; LOW; 0.0522
424; 45; 572; LOW; 0.0406
449; 50; 572; LOW; 0.1024
428; 49; 596; LOW; 0.093
179; 18; 557; LOW; 0.0666
334; 34; 591; LOW; 0.0964
469; 98; 555; HIGH; 0.1052
419; 96; 596; HIGH; 0.1053
439; 21; 572; LOW; 0.053
452; 31; 555; LOW; 0.0673
336; 88; 585; HIGH; 0.0628
388; 12; 596; LOW; 0.0296
433; 12; 590; LOW; 0.0942
402; 34; 572; LOW; 0.0837
440; 40; 572; LOW; 0.0783
263; 60; 600; HIGH; 0.0362
397; 38; 596; LOW; 0.0338
306; 98; 577; HIGH; 0.117
258; 86; 577; HIGH; 0.0732
165; 95; 594; HIGH; 0.0753
136; 91; 577; HIGH; 0.1692
511; 74; 559; HIGH; 0.0472
522; 49; 569; LOW; 0.0464
249; 98; 557; HIGH; 0.1563
215; 27; 594; LOW; 0.1207
421; 46; 590; LOW; 0.1141
512; 11; 559; LOW; 0.0579
139; 64; 594; HIGH; 0.1004
214; 40; 600; LOW; 0.0755
33; 15; 574; LOW; 0.0278
209; 18; 577; LOW; 0.062
516; 65; 586; HIGH; 0.111
123; 14; 574; LOW; 0.1104
478; 28; 569; LOW; 0.1581
100; 86; 557; HIGH; 0.1486
285; 49; 588; LOW; 0.049
289; 75; 557; HIGH; 0.2276
325; 36; 554; LOW; 0.1184
12; 62; 580; HIGH; 0.1902
533; 73; 559; HIGH; 0.0609
293; 80; 577; HIGH; 0.1377
175; 93; 588; HIGH; 0.1482
247; 75; 588; HIGH; 0.168
443; 13; 601; LOW; 0.1386
32; 45; 574; LOW; 0.0567
16; 68; 580; HIGH; 0.1535
322; 28; 577; LOW; 0.189
553; 25; 559; LOW; 0.2898
105; 33; 560; LOW; 0.0657
473; 81; 555; HIGH; 0.1408
227; 38; 593; LOW; 0.0585
95; 77; 580; HIGH; 0.0527
497; 71; 559; HIGH; 0.0843
177; 34; 565; LOW; 0.0912
444; 31; 601; LOW; 0.0478
230; 76; 577; HIGH; 0.0807
45; 82; 574; HIGH; 0.1197
1; 71; 580; HIGH; 0.2419
357; 92; 567; HIGH; 0.0545
74; 33; 565; LOW; 0.041
352; 29; 571; LOW; 0.0595
502; 62; 559; HIGH; 0.0609
398; 18; 567; LOW; 0.1115
124; 62; 574; HIGH; 0.1277
482; 76; 569; HIGH; 0.1597
59; 65; 557; HIGH; 0.1354
127; 46; 580; LOW; 0.0697
541; 37; 569; LOW; 0.1252
82; 13; 597; LOW; 0.0326
283; 91; 589; HIGH; 0.1668
160; 61; 600; HIGH; 0.1432
487; 38; 555; LOW; 0.2081
406; 99; 596; HIGH; 0.045
232; 24; 577; LOW; 0.0771
245; 47; 588; LOW; 0.0482
531; 20; 586; LOW; 0.087
184; 21; 593; LOW; 0.0123
415; 69; 572; HIGH; 0.0747
349; 60; 591; HIGH; 0.0703
68; 61; 574; HIGH; 0.0751
454; 85; 555; HIGH; 0.1086
134; 84; 560; HIGH; 0.0979
137; 43; 594; LOW; 0.0213
21; 40; 565; LOW; 0.0701
508; 74; 569; HIGH; 0.1084
196; 17; 594; LOW; 0.167
