id,risk_class,lat_bin,lon_bin,center_lat,center_lon
0,HIGH,0,33,37.9208,27.275
1,LOW,2,33,37.9608,27.275
2,LOW,2,34,37.9608,27.305
3,LOW,2,36,37.9608,27.365
4,LOW,3,33,37.9808,27.275
5,HIGH,4,29,38.0008,27.155
6,HIGH,4,30,38.0008,27.185
7,LOW,4,38,38.0008,27.425
8,LOW,4,41,38.0008,27.515
9,LOW,4,43,38.0008,27.575
10,LOW,4,46,38.0008,27.665
11,LOW,4,48,38.0008,27.725
12,HIGH,5,28,38.0208,27.125
13,HIGH,5,29,38.0208,27.155
14,HIGH,5,30,38.0208,27.185
15,HIGH,5,37,38.0208,27.395
16,HIGH,6,30,38.0408,27.185
17,HIGH,6,37,38.0408,27.395
18,HIGH,6,38,38.0408,27.425
19,LOW,7,19,38.0608,26.855
20,HIGH,7,20,38.0608,26.885
21,LOW,7,37,38.0608,27.395
22,LOW,7,38,38.0608,27.425
23,LOW,7,40,38.0608,27.485
24,LOW,7,46,38.0608,27.665
25,LOW,7,47,38.0608,27.695
26,LOW,7,60,38.0608,28.085
27,LOW,7,61,38.0608,28.115
28,LOW,7,63,38.0608,28.175
29,LOW,7,64,38.0608,28.205
30,HIGH,8,20,38.0808,26.885
31,LOW,8,21,38.0808,26.915
32,LOW,8,22,38.0808,26.945
33,HIGH,8,23,38.0808,26.975
34,LOW,8,32,38.0808,27.245
35,LOW,8,33,38.0808,27.275
36,HIGH,8,34,38.0808,27.305
37,HIGH,8,35,38.0808,27.335
38,LOW,8,38,38.0808,27.425
39,HIGH,8,41,38.0808,27.515
40,HIGH,8,45,38.0808,27.635
41,HIGH,8,46,38.0808,27.665
42,LOW,8,50,38.0808,27.785
43,LOW,8,63,38.0808,28.175
44,LOW,9,19,38.1008,26.855
45,HIGH,9,20,38.1008,26.885
46,HIGH,9,21,38.1008,26.915
47,HIGH,9,22,38.1008,26.945
48,HIGH,9,23,38.1008,26.975
49,LOW,9,24,38.1008,27.005
50,HIGH,9,25,38.1008,27.035
51,LOW,9,29,38.1008,27.155
52,LOW,9,31,38.1008,27.215
53,HIGH,9,34,38.1008,27.305
54,LOW,9,35,38.1008,27.335
55,LOW,9,36,38.1008,27.365
56,LOW,9,37,38.1008,27.395
57,LOW,9,40,38.1008,27.485
58,HIGH,9,42,38.1008,27.545
59,LOW,9,43,38.1008,27.575
60,LOW,9,44,38.1008,27.605
