ID; Lat; Lon; Demand; FireStation; Risk
190; 38.24; 26.50; 98; 24; HIGH
299; 38.34; 27.16; 64; 31; HIGH
185; 38.24; 26.32; 99; 24; HIGH
469; 38.88; 27.12; 87; 6; HIGH
61; 38.10; 27.64; 41; 44; LOW
229; 38.26; 28.39; 34; 7; LOW
432; 38.66; 27.09; 31; 31; LOW
222; 38.26; 27.25; 40; 31; LOW
551; 39.34; 27.27; 75; 6; HIGH
189; 38.24; 26.46; 92; 24; HIGH
381; 38.54; 27.30; 21; 31; LOW
326; 38.40; 27.18; 41; 31; LOW
350; 38.48; 27.04; 37; 31; LOW
188; 38.24; 26.43; 91; 24; HIGH
42; 38.08; 27.79; 47; 44; LOW
192; 38.24; 26.82; 77; 24; HIGH
391; 38.58; 27.07; 64; 31; HIGH
292; 38.34; 26.46; 82; 24; HIGH
206; 38.24; 27.91; 99; 44; HIGH
365; 38.52; 27.04; 10; 31; LOW
