ID; Demand; FireStation; Risk; StationDist_km
538; 36; 586; LOW; 0.073
551; 35; 586; LOW; 0.2713
29; 46; 565; LOW; 0.8229
468; 45; 555; LOW; 0.0866
237; 80; 600; HIGH; 0.047
437; 14; 555; LOW; 0.1848
263; 66; 600; HIGH; 0.0362
269; 86; 600; HIGH; 0.3555
112; 16; 600; LOW; 0.3127
63; 24; 565; LOW; 0.3113
387; 23; 600; LOW; 0.278
245; 23; 565; LOW; 0.2057
31; 13; 600; LOW; 0.2859
341; 71; 600; HIGH; 0.306
57; 41; 565; LOW; 0.1042
471; 22; 555; LOW; 0.1043
7; 65; 565; HIGH; 0.1354
344; 86; 565; HIGH; 0.3344
99; 13; 565; LOW; 0.1005
187; 76; 600; HIGH; 0.3756
